egg_id,hatch_date,status
F50_1,03/04/2025,killed
F50_6,03/04/2025,killed
F107_16,05/04/2025,killed
F117_12,03/04/2025,killed
F114_17,03/04/2025,killed
F86_5,03/04/2025,killed
F95_20,03/04/2025,killed
F110_20,03/04/2025,killed
F114_1,07/04/2025,killed
F49_18,03/04/2025,killed
F114_12,05/04/2025,killed
F118_6,03/04/2025,killed
F114_14,05/04/2025,killed
F52_10,03/04/2025,missing
F17_11,03/04/2025,killed
F74_11,03/04/2025,killed
F116_5,03/04/2025,killed
F107_17,03/04/2025,killed
F125_10,07/04/2025,killed
F101_2,04/04/2025,killed
F125_14,10/04/2025,killed
F125_18,10/04/2025,killed
F125_19,07/04/2025,killed
F126_16,10/04/2025,killed
F126_19,11/04/2025,killed
F126_2,07/04/2025,killed
F136_1,04/04/2025,killed
F126_4,10/04/2025,killed
F133_10,09/04/2025,killed
F133_5,07/04/2025,killed
F135_10,09/04/2025,killed
F135_11,07/04/2025,killed
F135_13,07/04/2025,killed
F135_15,01/04/2025,killed
F135_7,04/04/2025,killed
F118_7,04/04/2025,dead
F124_4,04/04/2025,missing
F124_5,04/04/2025,dead
F125_5,04/04/2025,dead
F136_4,06/04/2025,killed
F136_9,04/04/2025,killed
F136_5,30/03/2025,killed
F138_1,09/04/2025,killed
F138_4,04/04/2025,dead
F138_19,07/04/2025,killed
F138_5,07/04/2025,killed
F139_16,04/04/2025,killed
F144_9,04/04/2025,killed
F145_11,04/04/2025,killed
F145_12,04/04/2025,killed
F145_15,03/04/2025,killed
F145_17,04/04/2025,killed
F153_1,04/04/2025,killed
F139_11,09/04/2025,killed
F145_18,04/04/2025,killed
F145_3,01/04/2025,killed
F145_7,03/04/2025,killed
F148_1,04/04/2025,killed
F148_7,01/04/2025,killed
F148_9,04/04/2025,killed
F152_12,09/04/2025,killed
F152_14,09/04/2025,killed
F139_12,06/04/2025,killed
F152_15,07/04/2025,killed
F165_4,04/04/2025,dead
F153_16,09/04/2025,killed
F153_2,09/04/2025,killed
F145_1,08/04/2025,killed
F145_10,09/04/2025,killed
F145_16,05/04/2025,killed
F21_5,04/04/2025,killed
F21_6,04/04/2025,killed
F153_9,04/04/2025,killed
F27_5,04/04/2025,killed
F154_1,10/04/2025,killed
F154_12,09/04/2025,killed
F154_18,10/04/2025,killed
F157_1,04/04/2025,killed
F37_7,04/04/2025,dead
F157_5,09/04/2025,killed
F157_7,11/04/2025,killed
F15_5,06/04/2025,killed
F158_15,11/04/2025,killed
F158_17,04/04/2025,killed
F158_18,04/04/2025,killed
F51_1,04/04/2025,missing?
F158_5,11/04/2025,killed
F158_8,04/04/2025,killed
F159_4,04/04/2025,killed
F159_7,04/04/2025,killed
F160_9,04/04/2025,killed
F161_8,04/04/2025,killed
F164_5,07/04/2025,killed
F68_11,04/04/2025,dead
F164_9,07/04/2025,killed
F69_2,04/04/2025,dead
F69_7,04/04/2025,missing
F165_5,04/04/2025,killed
F167_3,04/04/2025,killed
F167_7,07/04/2025,killed
F17_3,01/04/2025,killed
F170_13,10/04/2025,killed
F170_14,09/04/2025,killed
F170_15,11/04/2025,killed
F76_3,04/04/2025,missing
F153_17,06/04/2025,killed
F76_7,04/04/2025,dead
F170_18,10/04/2025,killed
F153_19,06/04/2025,killed
F175_15,10/04/2025,killed
F175_6,11/04/2025,killed
F76_1,NA,missing
F69_15,NA,missing
F101_4,NA,missing
F51_19,NA,missing
F37_3,NA,missing
F138_15,NA,missing
F117_10,NA,missing
F79_11,NA,missing
F153_20,06/04/2025,killed
F153_7,04/04/2025,killed
F101_11,05/04/2025,killed
F101_14,05/04/2025,killed
F116_8,07/04/2025,killed
F101_5,05/04/2025,killed
F117_3,05/04/2025,killed
F121_12,05/04/2025,killed
F121_6,05/04/2025,killed
F103_13,08/04/2025,killed
F103_15,06/04/2025,killed
F123_15,07/04/2025,killed
F107_2,06/04/2025,dead
F107_8,05/04/2025,killed
F110_4,06/04/2025,dead
F114_10,05/04/2025,killed
F114_11,05/04/2025,missing
F123_17,05/04/2025,killed
F123_18,07/04/2025,killed
F114_19,08/04/2025,killed
F154_4,07/04/2025,killed
F124_14,05/04/2025,killed
F125_7,05/04/2025,killed
F154_7,09/04/2025,killed
F157_18,08/04/2025,killed
F125_8,05/04/2025,killed
F121_9,05/04/2025,killed
F123_13,08/04/2025,killed
F123_16,08/04/2025,killed
F126_7,07/04/2025,killed
F123_19,06/04/2025,missing
F123_7,08/04/2025,killed
F124_11,05/04/2025,killed
F124_12,08/04/2025,dead
F133_8,05/04/2025,killed
F124_15,06/04/2025,missing
F157_9,30/03/2025,killed
F125_11,08/04/2025,killed
F125_3,08/04/2025,killed
F125_15,08/04/2025,killed
F158_11,09/04/2025,killed
F125_4,08/04/2025,killed
F158_13,08/04/2025,killed
F135_16,05/04/2025,killed
F135_20,05/04/2025,killed
F159_9,06/04/2025,killed
F126_17,06/04/2025,dead
F126_3,06/04/2025,
F126_5,05/04/2025,killed
F126_6,08/04/2025,killed
F125_17,06/04/2025,killed
F126_9,05/04/2025,killed
F136_7,05/04/2025,killed
F136_3,03/04/2025,killed
F138_11,05/04/2025,killed
F160_3,06/04/2025,killed
F138_14,05/04/2025,killed
F136_2,06/04/2025,killed
F160_6,30/03/2025,killed
F136_10,05/04/2025,killed
F136_8,05/04/2025,dead
F138_16,07/04/2025,killed
F138_17,07/04/2025,killed
F138_2,05/04/2025,killed
F138_7,05/04/2025,killed
F138_20,07/04/2025,killed
F138_8,05/04/2025,killed
F139_10,08/04/2025,killed
F161_2,03/04/2025,killed
F139_15,06/04/2025,
F139_17,05/04/2025,killed
F139_18,05/04/2025,dead
F139_19,08/04/2025,killed
F138_9,05/04/2025,killed
F139_20,08/04/2025,killed
F144_11,05/04/2025,dead
F161_4,06/04/2025,killed
F139_2,05/04/2025,killed
F145_20,08/04/2025,killed
F139_3,07/04/2025,killed
F145_2,05/04/2025,killed
F145_6,03/04/2025,killed
F161_5,04/04/2025,killed
F15_6,08/04/2025,killed
F152_2,06/04/2025,killed
F152_20,06/04/2025,killed
F153_11,05/04/2025,killed
F153_12,05/04/2025,killed
F153_15,05/04/2025,killed
F164_1,06/04/2025,killed
F167_5,04/04/2025,killed
F170_1,07/04/2025,killed
F153_3,08/04/2025,killed
F153_4,08/04/2025,killed
F153_5,05/04/2025,killed
F145_8,05/04/2025,killed
F154_11,06/04/2025,killed
F154_14,08/04/2025,killed
F154_6,06/04/2025,killed
F157_11,08/04/2025,killed
